net,length_um
net248,260.87
net43,260.56
_06140_,260.42
_03680_,260.12
_06216_,260.04
is_sb_sh_sw,259.64
net52,259.48
_03387_,259.36
net50,259.16
_07944_,259.13
_04753_,259.1
net216,259.01
_01865_,258.82
_03275_,258.805
net94,258.63
clknet_4_10_0_clk,257.77
net260,257.74
net177,257.5
net261,257.43
_04388_,257.37
_04014_,257.275
net184,256.92
net6,256.77
_05106_,256.6
_04940_,256.375
_06183_,255.62
net47,255.515
_05937_,255.36
net85,255.22
net46,254.375
_08033_,254.175
latched_branch,253.45
_03322_,253.39
_04021_,252.575
_06093_,252.43
net7,252.2
_04149_,251.77
_03297_,251.43
_02397_,251.13
net56,250.15
_05544_,249.93
net300,249.46
_07221_,249.22
irq_active,249.105
_04011_,249.08
net82,249.05
_04039_,248.82
_03428_,248.685
net9,248.16
_03199_,248.015
_03351_,247.84
_06640_,247.68
_04415_,247.33
instr_sub,246.45
_04010_,246.44
mem_rdata_q\[30\],246.075
_04363_,245.63
_03225_,245.365
_04015_,245.295
mem_do_wdata,245.24
_05264_,245.17
_06072_,245.125
_06974_,244.87
net208,244.57
_04187_,244.535
_04024_,244.36
_06533_,243.9
instr_rdinstr,243.82
decoded_imm\[6\],243.68
net182,243.52
_06603_,243.49
_04027_,242.32
_02382_,242.16
_01863_,242
net86,241.87
net181,241.66
_03892_,241.435
decoder_trigger,241.125
_03338_,240.69
net176,240.68
_07007_,240.67
_03781_,240.625
_05440_,240.61
net8,239.99
_07998_,239.95
_02695_,239.48
_04673_,239.18
_01933_,238.99
_03368_,238.99
net178,238.83
_07274_,238.62
_05237_,238.535
_04186_,238.1
_06082_,237.975
_04914_,237.895
_04013_,237.625
irq_mask\[1\],237.6
_06273_,237.4
alu_out\[3\],237.385
_07899_,237.245
_07997_,236.83
_03277_,236.7
_03763_,236.58
_04026_,236.46
_04241_,236.18
_08335_,236.08
_06081_,235.8
net213,235.52
net212,235.32
_01723_,235.295
_04017_,235.235
net249,235.04
_03841_,234.72
_03359_,234.405
_06677_,234.285
cpuregs.waddr\[2\],234.28
_03599_,234.09
_04668_,233.63
_05213_,233.525
_03747_,233.475
net299,233.34
instr_timer,233.32
_04265_,233.06
_03630_,233.03
_06598_,232.325
_04448_,231.71
_05225_,231.13
_04712_,231.09
net245,231
_05257_,230.865
decoded_imm\[4\],230.81
_03867_,230.51
_03885_,230.15
net246,229.98
net77,229.92
net41,229.91
_07250_,229.68
_02967_,229.05
instr_rdcycleh,228.95
net42,228.905
_03349_,228.48
_03293_,227.91
_02479_,227.76
_06257_,227.68
_07232_,226.82
net11,226.66
net185,224.94
_03344_,224.44
_04023_,224.04
_03218_,223.61
_05458_,223.2
is_alu_reg_reg,222.75
_04710_,222.63
_03822_,222.615
_04051_,222.42
_01885_,220.79
_04268_,220.27
_03330_,219.86
_07948_,219.78
_04391_,219.665
decoded_imm\[3\],219.605
_03378_,219.5
_05356_,219.31
net40,219.015
_03356_,219.005
_01929_,218.82
_02486_,218.65
_08012_,217.9
_03916_,217.77
alu_out\[12\],217.525
net10,217.52
_03229_,216.695
_06113_,216.37
_05948_,216.26
_08350_,216.005
_07988_,215.84
_03646_,215.82
is_alu_reg_imm,215.805
decoded_imm\[1\],215.75
_04145_,215.635
_03335_,215.44
_06949_,215.17
_05361_,215.12
_06590_,215.08
_03737_,214.985
alu_out_q\[15\],214.92
_05281_,214.615
_06319_,214.54
_02771_,214.335
_03326_,214.09
_04908_,214.09
_02617_,214.01
_02476_,213.72
irq_state\[0\],213.575
_06116_,213.52
decoded_imm_j\[19\],213.39
_07834_,213.285
_05014_,213.215
_06288_,213.21
_06132_,212.77
_07942_,212.13
_04063_,212.11
_03357_,211.32
_06105_,211.09
_07994_,210.11
_07759_,210.02
_02241_,209.88
_06565_,209.2
_03227_,209.15
_07211_,209.11
_07271_,208.96
_03352_,208.72
_02477_,208.66
_03891_,208.24
net13,208.18
_02895_,208.1
_03323_,207.78
_03394_,207.78
_03888_,207.24
_05929_,207.19
_06751_,207
_06554_,206.89
_02625_,206.88
_03638_,206.825
_04165_,206.495
_07210_,206.41
_02488_,206.18
_06582_,205.57
mem_rdata_q\[31\],205.505
_02259_,205.42
_01954_,205.34
_03509_,204.56
_01872_,204.44
_03364_,204.44
_04881_,204.245
_03039_,203.975
_06193_,203.88
_03703_,203.02
_05292_,202.74
_07217_,202.725
_04202_,202.58
_04425_,201.76
_07045_,201.03
_04674_,201.02
_06150_,200.595
_06265_,200.52
_05906_,200.48
cpuregs.waddr\[0\],200.18
_05911_,199.98
_06266_,199.71
decoded_imm\[0\],199.14
net25,199
net257,198.84
cpuregs.waddr\[1\],198.82
net79,198.67
_07906_,198.545
_03003_,198.455
_07153_,198.27
_05087_,198.15
_06571_,198.05
_02484_,197.29
_07947_,196.92
_06580_,196.85
instr_slli,196.61
_08055_,195.98
irq_pending\[6\],195.73
reg_next_pc\[0\],195.5
_08380_,195.45
mem_rdata_q\[22\],195.42
latched_compr,195.415
_05045_,195.405
_06991_,195.22
_08050_,194.98
alu_out\[8\],194.86
_05397_,194.775
reg_next_pc\[28\],194.57
_06968_,194.04
_06328_,193.9
net24,193.76
_07009_,193.21
_07986_,192.88
_07681_,192.72
_06980_,191.92
_02039_,191.73
_06575_,191.26
net83,190.915
_04745_,190.64
_05538_,190.44
decoded_imm_j\[18\],190.41
_07371_,190.08
_02611_,189.22
_05894_,188.75
_05899_,188.57
reg_pc\[26\],188.4
_03336_,188.27
_00065_,187.78
_04099_,187.66
_04201_,187.56
net16,187.53
instr_waitirq,187.27
_07898_,187.24
_06312_,187.1
_04746_,186.735
_06280_,186.55
_03635_,186.325
decoded_imm_j\[15\],185.72
_06114_,185.71
_03743_,185.46
net14,185.18
_07374_,185.04
_06066_,184.995
_06104_,184.52
alu_out_q\[8\],184.52
_03253_,184.015
decoded_imm_j\[17\],182.55
_03348_,182.505
_06941_,182.22
mem_rdata_q\[21\],181.935
_03226_,181.695
_05932_,181.62
_06077_,181.56
_05902_,181.53
_03407_,181.515
_05209_,181.28
_06240_,181.16
_03880_,181.03
decoded_imm_j\[12\],180.96
alu_out\[14\],180.58
_03810_,180.23
_03604_,180.16
net36,180.1
cpu_state\[6\],179.87
_04630_,179.77
is_lb_lh_lw_lbu_lhu,179.44
net17,179.4
net75,178.94
_03237_,178.32
_06578_,178.08
mem_rdata_q\[24\],178
_08035_,177.85
reg_pc\[28\],177.58
_03762_,177.09
_03767_,176.845
_07958_,175.97
_05915_,175.53
decoded_imm_j\[16\],175.515
net63,175.13
_06586_,174.94
_04422_,174.75
_05877_,174.69
_02931_,174.575
_04593_,173.74
_06320_,173.65
_07790_,173.64
_06947_,173.28
_05943_,172.08
_06101_,172.06
_06303_,171.96
mem_rdata_q\[23\],171.95
decoded_imm\[2\],171.84
_03977_,171.67
instr_maskirq,171.505
_06863_,171.09
_07967_,171.055
_06184_,170.58
alu_out_q\[12\],170.46
_03954_,170.28
alu_out\[28\],170.22
_07305_,170.11
_06861_,169.95
_07304_,169.84
_05144_,169.755
_06016_,169.725
_06540_,169.4
net18,169.34
_06118_,169.245
_03783_,169.005
_01932_,168.8
_03965_,168.54
_03987_,168.44
net224,168.42
_04499_,167.52
_01965_,167.27
alu_out_q\[21\],167.22
_08097_,167.19
_02711_,167.085
alu_out\[11\],167.025
reg_pc\[18\],166.99
_05952_,166.82
net19,166.57
_07954_,166.54
_06166_,165.94
instr_jalr,165.83
_06984_,165.4
_07984_,165.09
alu_out_q\[5\],165.02
_03075_,165
_05243_,164.99
_02440_,164.84
alu_out_q\[7\],164.56
_03358_,164.275
_04604_,164.18
_07283_,163.64
_06003_,163.495
net39,163.29
_06987_,163.08
_05885_,162.84
alu_out\[31\],162.79
reg_pc\[25\],162.485
_06588_,162.24
_03736_,162.16
_07081_,162.115
reg_next_pc\[2\],162.065
_04909_,161.925
_06536_,161.82
_07755_,161.695
_04255_,161.56
_06860_,161.38
_06569_,161.31
instr_beq,161.31
_02620_,161.22
_02267_,160.79
_06078_,160.76
decoded_imm_j\[14\],160.305
_06584_,160.265
_03979_,160.05
reg_next_pc\[1\],159.95
_04850_,159.83
_04341_,159.76
_06065_,159.72
mem_rdata_q\[9\],159.415
_05881_,159.325
irq_pending\[20\],159.29
_07966_,159.095
alu_out\[13\],158.815
_03600_,158.6
_02249_,158.38
_05923_,157.96
_08071_,157.74
_03213_,157.72
net37,157.67
_06304_,157.42
_03730_,157.28
alu_out\[15\],157.24
_04637_,156.98
_07969_,156.87
net84,156.85
net15,156.72
_05394_,156.34
_05864_,156.33
_04008_,156.26
_00064_,156.15
reg_next_pc\[3\],156.15
_05404_,156.14
decoded_imm_j\[13\],155.82
mem_rdata_q\[7\],155.615
