net,length_um
_11979_,410.2
_08452_,409.645
_08451_,409.53
_09652_,408.58
_12055_,408.44
_19851_,408.205
_12094_,408.06
_19796_,407.98
_10139_,407.86
net51,407.68
_09649_,407.6
_08430_,407.58
_08486_,407.275
_08429_,406.21
_11820_,406.16
_08504_,405.96
_11749_,405.94
_08259_,405.585
_10142_,404.94
_10283_,404.78
_10250_,404.12
_09850_,403.57
_08308_,402.49
_08454_,402.49
_08309_,401.36
_15434_,401.17
_22468_,401.04
_08795_,400.76
_10527_,400.61
_08445_,400.29
_09049_,400.14
_08447_,399.98
_08461_,399.15
_14048_,399.135
clknet_6_23_0_clk,399.06
_15446_,398.615
_08231_,398.585
_19119_,398.065
_12064_,397.66
clknet_6_15_0_clk,397.58
_09674_,397.32
_08261_,396.855
net50,396.58
_08482_,396.56
_13705_,396.24
_10814_,394.9
_08827_,394.56
clknet_6_34_0_clk,394.26
_12324_,394.24
clknet_6_58_0_clk,394.06
_20388_,394.02
_12209_,393.96
_14724_,393.37
_12036_,393.27
_13696_,392.9
clknet_6_54_0_clk,392.46
_09377_,392.36
_08322_,392.24
_08246_,392.065
_09312_,391.99
_09037_,391.53
_09130_,391.5
_08460_,391.05
clknet_6_47_0_clk,390.96
_10225_,390.68
_12409_,389.84
_15432_,387.31
_08324_,387.04
_15428_,386.62
_08694_,386.46
_21859_,386.4
_09068_,386.18
_10489_,384.3
_10245_,384.22
_08828_,383.55
_09044_,383.38
_08266_,383.22
_09127_,382.46
_10627_,382.15
net68,382.06
_09404_,381.94
_08516_,381.775
_15464_,381.75
_10491_,381.2
net19,381.04
_12725_,381
_08697_,380.99
_12439_,380.59
clknet_6_19_0_clk,380.34
_08503_,380.16
_15041_,379.3
clknet_6_48_0_clk,379.1
_10223_,379.08
_08945_,378.87
_10526_,378.8
_09407_,378.22
_21629_,376.65
_08840_,376.32
_09958_,376.2
_10651_,376.05
_15436_,375.92
_10411_,374.94
_09063_,374.89
_09995_,374.845
_15085_,373.57
_08570_,373.13
_15398_,372.94
_10835_,372.1
_09393_,371.96
_10190_,371.9
_08946_,371.73
_10157_,371.59
_08561_,371.52
_09419_,371.38
_19002_,371.285
_10160_,371.195
_19845_,370.61
clknet_6_29_0_clk,370.36
_23657_,370.3
_08841_,370.27
net18,370.09
_08578_,370.06
_18742_,370.03
_10908_,369.98
_10414_,369.6
_10024_,369.52
_21422_,369.5
_09957_,369.43
_08251_,369.22
clknet_6_56_0_clk,369.11
clknet_6_35_0_clk,368.78
_12179_,368.22
_09192_,367.91
_14722_,367.68
_10148_,367.6
_10492_,367.57
clknet_6_61_0_clk,367.37
_12756_,366.92
_09422_,366.48
_14732_,366.45
_10589_,366.36
_10415_,366.22
clknet_6_39_0_clk,366.18
_14726_,366.1
_10536_,365.71
_09630_,365.68
_09497_,365.51
_10282_,365.3
_15400_,365.24
_09105_,365.01
_12682_,365
_09041_,364.17
_10308_,364.15
_09915_,364.05
_14734_,363.96
clknet_6_24_0_clk,363.7
_14717_,363.46
_10183_,362.88
_10645_,362.69
clknet_6_60_0_clk,362.6
clknet_6_25_0_clk,362.06
_15440_,362.01
_10608_,361.9
_14730_,361.84
clknet_6_26_0_clk,361.68
_10420_,361.52
_08336_,361.5
_09988_,361.42
_10469_,361.28
_08661_,361.26
_12685_,361.12
_10532_,360.66
_10200_,360.6
_12050_,360.3
_13686_,360.06
_08475_,359.86
_12719_,359.74
_09378_,359.5
_09635_,358.97
_08425_,358.64
_15394_,358.48
clknet_6_52_0_clk,358.42
_09875_,358.195
_10477_,358.08
_10189_,358.04
_19853_,357.98
_10427_,357.97
_08390_,357.38
_10224_,357.04
_12753_,356.95
clknet_6_18_0_clk,356.8
_09395_,356.5
_09642_,356.2
_10485_,355.48
_09396_,355.42
_22561_,355.38
_22556_,355.3
