net,length_um
_0568_,10.74
send_divcnt\[5\],10.74
net15,10.74
_0420_,10.56
_0238_,10.54
_0119_,10.365
_0480_,10.34
_0202_,10.32
_0541_,10.28
_0747_,10.28
_0695_,10.26
net60,10.24
_0265_,10.23
_0631_,10.2
_0489_,10.18
_0260_,10.04
_0314_,10
reg_div_we[1],9.99
_0196_,9.98
_0475_,9.96
_0531_,9.96
_0547_,9.9
_0609_,9.88
_0339_,9.86
_0459_,9.86
_0504_,9.82
_0450_,9.78
_0637_,9.76
net14,9.72
_0558_,9.7
send_pattern\[5\],9.7
_0374_,9.66
_0455_,9.62
_0484_,9.58
_0529_,9.54
reg_div_we[3],9.53
_0592_,9.5
_0417_,9.48
_0562_,9.48
_0468_,9.38
_0133_,9.36
_0161_,9.36
_0310_,9.3
send_pattern\[4\],9.22
_0131_,9.2
_0605_,9.08
_0198_,9.06
_0244_,9.06
_0625_,9.06
_0307_,9.02
_0371_,8.96
_0536_,8.96
_0723_,8.96
_0197_,8.94
_0203_,8.9
_0662_,8.86
resetn,8.84
_0437_,8.76
_0763_,8.74
_0402_,8.7
_0567_,8.62
_0287_,8.6
_0155_,8.56
_0510_,8.56
_0343_,8.48
net51,8.48
net53,8.48
net55,8.48
net57,8.48
net59,8.48
net62,8.48
net64,8.48
net66,8.48
net68,8.48
net70,8.48
net80,8.48
_0140_,8.44
_0642_,8.4
_0569_,8.36
_0103_,8.34
_0460_,8.32
_0571_,8.22
_0255_,8.2
net50,8.14
net52,8.14
net54,8.14
net56,8.14
net58,8.14
net61,8.14
net63,8.14
net65,8.14
net67,8.14
net69,8.14
net72,8.14
net79,8.14
_0366_,8.1
_0252_,8.08
_0026_,8.065
_0228_,8.06
_0209_,8.02
net13,8.02
_0730_,7.98
_0754_,7.94
_0478_,7.9
_0456_,7.885
_0110_,7.845
_0122_,7.845
_0094_,7.805
_0487_,7.8
_0317_,7.79
_0565_,7.78
_0626_,7.78
send_bitcnt\[3\],7.78
_0563_,7.7
_0158_,7.68
_0215_,7.68
_0521_,7.68
net75,7.68
_0182_,7.64
_0044_,7.625
_0333_,7.58
_0105_,7.565
reg_div_do[8],7.45
_0266_,7.44
_0413_,7.44
_0516_,7.4
_0034_,7.385
_0425_,7.36
_0029_,7.345
_0655_,7.32
_0036_,7.305
_0011_,7.22
_0635_,7.22
_0540_,7.18
net5,7.125
reg_dat_do[8],7.11
_0574_,7.06
_0602_,7.06
net33,7
net39,7
net41,7
_0458_,6.96
_0059_,6.94
_0736_,6.92
_0169_,6.9
_0022_,6.825
_0217_,6.82
_0767_,6.82
reg_dat_di[1],6.77
reg_dat_di[3],6.77
reg_dat_di[5],6.77
reg_dat_di[7],6.77
reg_dat_re,6.77
reg_div_di[11],6.77
reg_div_di[13],6.77
reg_div_di[15],6.77
reg_div_di[17],6.77
reg_div_di[19],6.77
reg_div_di[1],6.77
reg_div_di[21],6.77
reg_div_di[23],6.77
reg_div_di[25],6.77
reg_div_di[27],6.77
reg_div_di[29],6.77
reg_div_di[31],6.77
reg_div_di[3],6.77
reg_div_di[5],6.77
reg_div_di[7],6.77
reg_div_di[9],6.77
ser_rx,6.77
_0212_,6.76
_0282_,6.76
_0502_,6.76
_0278_,6.72
_0745_,6.72
_0042_,6.705
_0093_,6.685
net76,6.66
net77,6.66
_0361_,6.64
_0368_,6.64
net78,6.64
_0523_,6.6
_0593_,6.6
reg_div_we[0],6.55
reg_div_we[2],6.55
_0041_,6.485
_0027_,6.465
reg_dat_di[0],6.43
reg_dat_di[2],6.43
reg_dat_di[4],6.43
reg_dat_di[6],6.43
reg_dat_we,6.43
reg_div_di[0],6.43
reg_div_di[10],6.43
reg_div_di[12],6.43
reg_div_di[14],6.43
reg_div_di[16],6.43
reg_div_di[18],6.43
reg_div_di[20],6.43
reg_div_di[22],6.43
reg_div_di[24],6.43
reg_div_di[26],6.43
reg_div_di[28],6.43
reg_div_di[2],6.43
reg_div_di[30],6.43
reg_div_di[4],6.43
reg_div_di[6],6.43
reg_div_di[8],6.43
_0039_,6.425
_0108_,6.425
_0603_,6.42
_0608_,6.41
_0712_,6.38
_0121_,6.365
_0187_,6.36
_0755_,6.36
_0139_,6.3
_0423_,6.3
_0705_,6.3
_0230_,6.265
_0149_,6.26
_0188_,6.26
_0326_,6.26
_0506_,6.26
_0647_,6.26
_0691_,6.26
_0756_,6.26
_0765_,6.26
_0035_,6.225
_0200_,6.2
_0418_,6.18
_0708_,6.18
_0445_,6.175
_0556_,6.14
_0644_,6.14
reg_dat_do[3],6.09
reg_div_do[3],6.09
_0340_,6.08
_0581_,6.08
_0615_,6.08
_0309_,6.06
_0181_,6.04
_0595_,6.04
net42,5.98
_0476_,5.96
_0138_,5.94
_0449_,5.94
_0284_,5.9
_0570_,5.86
send_pattern\[2\],5.82
_0323_,5.8
_0614_,5.8
_0636_,5.8
_0703_,5.8
_0065_,5.765
reg_dat_do[0],5.75
reg_dat_do[10],5.75
reg_dat_do[11],5.75
reg_dat_do[12],5.75
reg_dat_do[13],5.75
reg_dat_do[14],5.75
reg_dat_do[15],5.75
reg_dat_do[16],5.75
reg_dat_do[17],5.75
reg_dat_do[18],5.75
